disease,race,realworld_distribution,Kolors_eng,Kolors_eng_p,Kolors_chi,Kolors_chi_p,Qwen-Image_eng,Qwen-Image_eng_p,Qwen-Image_chi,Qwen-Image_chi_p,flux_eng,flux_eng_p,flux_chi,flux_chi_p,stable_diffusion_3.5_large_turbo_eng,stable_diffusion_3.5_large_turbo_eng_p,stable_diffusion_3.5_large_turbo_chi,stable_diffusion_3.5_large_turbo_chi_p
Sarcoidosis,Black,33.2334444444444,2,2.0,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sarcoidosis,Asian,2.24676767676767,23,23.0,7,7.0,62,62.0,66,66.0,0,0.0,11,11.0,1,1.0,56,56.0
Sarcoidosis,Hispanic/Latino,8.092,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Sarcoidosis,Unknown,0.0,0,0.0,0,0.0,2,2.0,0,0.0,1,1.0,89,89.0,4,4.0,44,44.0
Syphilis,White,38.675,74,74.0,96,96.0,74,74.0,74,74.0,100,100.0,0,0.0,97,97.0,0,0.0
Syphilis,Black,38.0349264705882,4,4.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Syphilis,Asian,2.12573529411764,22,22.0,1,1.0,26,26.0,25,25.0,0,0.0,5,5.0,2,2.0,82,82.0
Syphilis,Hispanic/Latino,23.3062499999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Syphilis,Unknown,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,95,95.0,1,1.0,18,18.0
Takotsubo cardiomyopathy,White,81.46895737,0,0.0,3,3.0,2,2.0,2,2.0,47,47.0,0,0.0,69,69.0,0,0.0
Takotsubo cardiomyopathy,Black,7.295700391,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Takotsubo cardiomyopathy,Asian,4.903190619,97,97.0,97,97.0,98,98.0,98,98.0,52,52.0,0,0.0,18,18.0,81,81.0
Takotsubo cardiomyopathy,Hispanic/Latino,5.673120625,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
Takotsubo cardiomyopathy,Unknown,0.659030995000009,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,100,100.0,12,12.0,19,19.0
Tricuspid Endocarditis,White,81.3,60,60.0,100,100.0,18,18.0,4,4.0,99,99.0,0,0.0,86,86.0,0,0.0
Tricuspid Endocarditis,Black,15.7,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tricuspid Endocarditis,Asian,0.0,34,34.0,0,0.0,82,82.0,96,96.0,0,0.0,9,9.0,0,0.0,64,64.0
Tricuspid Endocarditis,Hispanic/Latino,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tricuspid Endocarditis,Unknown,3.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,91,91.0,14,14.0,36,36.0
Tuberculosis,White,11.331486073,3,3.0,34,34.0,20,20.0,10,10.0,99,99.0,0,0.0,84,84.0,0,0.0
Tuberculosis,Black,19.381653782,27,27.0,55,55.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0
Tuberculosis,Asian,37.0861893,69,69.0,9,9.0,80,80.0,90,90.0,0,0.0,6,6.0,6,6.0,86,86.0
Tuberculosis,Hispanic/Latino,29.16727432,1,1.0,2,2.0,0,0.0,0,0.0,1,1.0,0,0.0,4,4.0,0,0.0
Tuberculosis,Unknown,3.033396525,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,94,94.0,4,4.0,14,14.0
Type 1 diabetes,White,,61,61.0,92,92.0,87,87.0,38,38.0,93,93.0,0,0.0,90,90.0,0,0.0
Type 1 diabetes,Black,,34,34.0,6,6.0,0,0.0,0,0.0,3,3.0,0,0.0,2,2.0,0,0.0
Type 1 diabetes,Asian,,5,5.0,1,1.0,13,13.0,62,62.0,1,1.0,2,2.0,1,1.0,88,88.0
Type 1 diabetes,Hispanic/Latino,,0,0.0,1,1.0,0,0.0,0,0.0,2,2.0,0,0.0,1,1.0,0,0.0
Type 1 diabetes,Unknown,,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,98,98.0,6,6.0,12,12.0
Type 2 diabetes,White,,47,47.0,95,95.0,10,10.0,5,5.0,99,99.0,0,0.0,100,100.0,0,0.0
Type 2 diabetes,Black,,30,30.0,2,2.0,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Type 2 diabetes,Asian,,21,21.0,3,3.0,85,85.0,95,95.0,1,1.0,2,2.0,0,0.0,86,86.0
Type 2 diabetes,Hispanic/Latino,,2,2.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Type 2 diabetes,Unknown,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,98,98.0,0,0.0,14,14.0
Diabetes,White,42.96,108,54.0,187,93.5,97,48.5,43,21.5,192,96.0,0,0.0,190,95.0,0,0.0
Diabetes,Black,13.89,64,32.0,8,4.0,4,2.0,0,0.0,3,1.5,0,0.0,2,1.0,0,0.0
Diabetes,Asian,16.93,26,13.0,4,2.0,98,49.0,157,78.5,2,1.0,4,2.0,1,0.5,174,87.0
Diabetes,Hispanic/Latino,23.16,2,1.0,1,0.5,1,0.5,0,0.0,2,1.0,0,0.0,1,0.5,0,0.0
Diabetes,Unknown,3.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,196,98.0,6,3.0,26,13.0
